                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.2263,                0.66773,                0.95582,                 0.9336,                0.86005,                0.91581,                0.57623,                    nan,                    nan,                    nan,             0.00036421,             0.00036421,             0.00036421
                     38,                 1.2268,                0.66677,                0.95728,                0.93635,                0.85655,                 0.9145,                0.56397,                    nan,                    nan,                    nan,             0.00031714,             0.00031714,             0.00031714
                     39,                  1.221,                0.66404,                0.95418,                0.93905,                0.85755,                0.91732,                0.57097,                    nan,                    nan,                    nan,             0.00027276,             0.00027276,             0.00027276
                     40,                 1.2206,                 0.6633,                0.95467,                0.93929,                0.85808,                0.91848,                0.57522,                    nan,                    nan,                    nan,             0.00023126,             0.00023126,             0.00023126
                     41,                 1.1719,                0.61729,                0.94563,                0.93376,                0.86103,                0.91944,                0.58147,                    nan,                    nan,                    nan,             0.00019279,             0.00019279,             0.00019279
                     42,                 1.1635,                0.61055,                0.94209,                0.93564,                0.85904,                0.92002,                0.58459,                    nan,                    nan,                    nan,             0.00015752,             0.00015752,             0.00015752
                     43,                 1.1558,                0.60126,                 0.9387,                0.93602,                0.86395,                0.92115,                 0.5821,                    nan,                    nan,                    nan,             0.00012557,             0.00012557,             0.00012557
                     44,                 1.1573,                0.60304,                 0.9386,                0.93666,                0.86419,                0.92223,                0.58188,                    nan,                    nan,                    nan,             9.7078e-05,             9.7078e-05,             9.7078e-05
                     45,                 1.1482,                0.59626,                0.93808,                0.93577,                0.86286,                0.92159,                0.58459,                    nan,                    nan,                    nan,             7.2153e-05,             7.2153e-05,             7.2153e-05
                     46,                 1.1415,                0.59336,                0.93751,                0.93401,                0.86407,                0.92191,                0.58601,                    nan,                    nan,                    nan,             5.0895e-05,             5.0895e-05,             5.0895e-05
                     47,                 1.1464,                0.59364,                0.93712,                0.93491,                0.86421,                0.92204,                0.58562,                    nan,                    nan,                    nan,             3.3385e-05,             3.3385e-05,             3.3385e-05
                     48,                 1.1483,                0.58894,                0.93474,                 0.9351,                0.86284,                 0.9217,                0.58737,                    nan,                    nan,                    nan,             1.9695e-05,             1.9695e-05,             1.9695e-05
                     49,                 1.1451,                0.59019,                0.93862,                0.93541,                0.86395,                0.92229,                0.58722,                    nan,                    nan,                    nan,             9.8774e-06,             9.8774e-06,             9.8774e-06
                     50,                 1.1366,                0.58665,                 0.9345,                0.93469,                  0.864,                 0.9222,                 0.5872,                    nan,                    nan,                    nan,             3.9713e-06,             3.9713e-06,             3.9713e-06
