                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6171,                 1.1435,                 1.1757,                0.85374,                0.31575,                0.36883,                0.14425,                    nan,                    nan,                    nan,              0.0033321,              0.0033321,              0.0033321
                      2,                 1.3925,                0.87045,                 1.0519,                 0.9105,                0.33224,                0.39909,                0.20831,                    nan,                    nan,                    nan,              0.0066638,              0.0066638,              0.0066638
                      3,                 1.3832,                0.83257,                 1.0509,                0.89747,                0.31828,                 0.3767,                0.17459,                    nan,                    nan,                    nan,              0.0099889,              0.0099889,              0.0099889
